external_id,baslik,mevcut_kategori,tam_kategori_yollari,glosh_skoru,hdbscan_kume,oneri_yol,oneri_kategori,label_sim_fark,knn_oneri,knn_baskinlik,knn_impurity,ortak_agac_derinligi,oncelik,supheli_mi,risk_skoru
1393426,Blinking without eyelids: first video-documented evidence of a blink-like reflex in Ophisops elegans (Reptilia: Lacertidae),"Biyoloji, Zooloji",Fen > Temel Bilimler > Biyoloji | Fen > Temel Bilimler > Zooloji,0.27998783149438394,33,Fen > Tıp > Göz Hastalıkları,Göz Hastalıkları,0.2238157093524933,Göz Hastalıkları,0.3,1.0,1,YÜKSEK (Farklı Alt Alan),1,0.5483324561469687
1390507,Sanayi Coğrafyası Açısından Bir İnceleme: Kayseri Organize Sanayi  Bölgesi,Coğrafya,Sosyal > Sosyal > Coğrafya,0.4729504111910968,99,Fen > Mühendislik > Endüstri Mühendisliği,Endüstri Mühendisliği,0.19563457369804382,Mimarlık,0.4,0.9,0,KRİTİK (Farklı Ana Disiplin),1,0.5467097035920896
1443940,İLETİŞİM ARAŞTIRMALARINDA DİJİTAL SİMÜLASYON YAKLAŞIMLARI: SİSTEMATİK BİR İNCELEME,İletişim,Sosyal > Sosyal > İletişim,0.35127605882651697,87,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka","Bilgisayar Bilimleri, Yapay Zeka",0.28077080845832825,Bilgisayar Bilimleri,0.9,0.9,0,KRİTİK (Farklı Ana Disiplin),1,0.5460887976670442
1393889,Differences in Breeding Systems Can Affect the Body Hygiene Status and Productivity of Anatolian Buffalo Cows,"Gıda Bilimi ve Teknolojisi, Ziraat Mühendisliği",Fen > Mühendislik > Gıda Bilimi ve Teknolojisi | Fen > Ziraat > Ziraat Mühendisliği,0.8624689791395233,-1,Fen > Veterinerlik > Veterinerlik,Veterinerlik,0.13721676170825958,Veterinerlik,0.3,0.7,1,YÜKSEK (Farklı Alt Alan),1,0.5436431113827715
1450117,The core microbiome of fluvisols from the Vistula River Valley: relationships between bacteria and basic soil properties,"Ziraat, Toprak Bilimi","Fen > Ziraat > Ziraat, Toprak Bilimi",0.36415422569974104,111,Fen > Temel Bilimler > Viroloji,Viroloji,0.14469149708747864,Biyoloji,0.4,1.0,1,YÜKSEK (Farklı Alt Alan),1,0.5416805804055528
1389173,Gürültülü İşyerlerinde İşle İlgili Faktörler ve İşitme Koruyucu Cihaz Kullanımı Arasındaki İlişki: Kesitsel Araştırma,"Odyoloji ve Konuşma-Dil Patolojisi, Sağlık Politikaları ve Hizmetleri",Fen > Tıp > Odyoloji ve Konuşma-Dil Patolojisi | Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,0.6918777016370425,2,Fen > Mühendislik > Telekomünikasyon,Telekomünikasyon,0.12005549669265747,Akustik,0.4,0.8,1,YÜKSEK (Farklı Alt Alan),1,0.5349888492516908
1429225,Tıbbi ve Aromatik Bitkilerde Hastalık Etmenleri ve Zararlılar: Etkileri ve Sürdürülebilir Mücadele Yaklaşımları,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,0.8152718972894802,-1,Fen > Eczacılık > Toksikoloji,Toksikoloji,0.13168177008628845,Toksikoloji,0.3,0.7,1,YÜKSEK (Farklı Alt Alan),1,0.529906593852571
1396984,"Keban Barajı’nın Batı Sınırında Kalkolitik Dönem: Kalaycık, Kalecikler ve Hoşrik Kazıları (Elazığ-Ağın) Bulguları","Arkeoloji, Tarih",Sosyal > Sosyal > Arkeoloji | Sosyal > Sosyal > Tarih,0.5780847280299015,-1,"Fen > Mühendislik > Mühendislik, Jeoloji","Mühendislik, Jeoloji",0.1748586893081665,Mühendislik,0.3,0.8,0,KRİTİK (Farklı Ana Disiplin),1,0.5257217232653337
1399848,"Artificial intelligence in mycology: a systematic review of species identification, biotechnological assessment, and explainable deep learning methods",Mantar Bilimi,Fen > Temel Bilimler > Mantar Bilimi,0.3589126437004364,0,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka","Bilgisayar Bilimleri, Yapay Zeka",0.21549907326698303,Bilgisayar Bilimleri,1.0,0.9,1,YÜKSEK (Farklı Alt Alan),1,0.5251528365685532
1430807,ROBOT VERGİSİNİN UYGULANABİLİRLİĞİ ÜZERİNE BİR İNCELEME,İktisat,Sosyal > Sosyal > İktisat,0.42686093696247085,87,Fen > Mühendislik > Robotik,Robotik,0.2806437313556671,Bilgisayar Bilimleri,0.5,0.8,0,KRİTİK (Farklı Ana Disiplin),1,0.5249405402151013
1382974,TÜRKİYE İSTATİSTİK KURUMU’NUN AÇIKLADIĞI  SAĞLIK VERİSİNE GÜVENİLİR Mİ?,"Etik, Nüfus İstatistikleri Bilimi",Sosyal > Sosyal > Etik | Sosyal > Sosyal > Nüfus İstatistikleri Bilimi,0.35358380293016256,45,Fen > Tıp > Halk ve Çevre Sağlığı,Halk ve Çevre Sağlığı,0.09541654586791992,Temel Sağlık Hizmetleri,0.3,1.0,0,KRİTİK (Farklı Ana Disiplin),1,0.5217917417863127
1388449,"Simultaneous determination and variability over time of Cr, Cu, Zn, As, Se, Sr, Cd, Sb, Hg, Tl, Pb concentrations in fingernail samples by ICP-MS method","Toksikoloji, Adli Tıp",Fen > Eczacılık > Toksikoloji | Fen > Tıp > Adli Tıp,0.35140293565530156,27,Fen > Diş Hekimliği > Diş Hekimliği,Diş Hekimliği,0.09564808011054993,Diş Hekimliği,0.5,1.0,1,YÜKSEK (Farklı Alt Alan),1,0.5213275619525178
1389453,YAPAY ZEKÂ VE SİYASET: DİJİTAL ÇAĞDA SİYASAL DÖNÜŞÜM,"Bilim Felsefesi ve Tarihi, Siyasi Bilimler",Sosyal > Sosyal > Bilim Felsefesi ve Tarihi | Sosyal > Sosyal > Siyasi Bilimler,0.4434916401390726,87,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka","Bilgisayar Bilimleri, Yapay Zeka",0.14373841881752014,Bilgisayar Bilimleri,0.8,0.9,0,KRİTİK (Farklı Ana Disiplin),1,0.5211813566209003
1341217,Portatif sagital plan omurga  eğriliği ölçüm sistemi tasarımı ve ön değerlendirmesi,"Biyofizik, Sağlık Bilimleri ve Hizmetleri",Fen > Tıp > Biyofizik | Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,0.875389109177239,-1,Fen > Temel Bilimler > Oşinografi,Oşinografi,0.15021243691444397,Biyofizik,0.4,0.6,1,YÜKSEK (Farklı Alt Alan),1,0.5114216302143652
1395891,YouTube’daki Benign Prostat Cerrahisi Videolarının Eğitsel Kalitesinin Değerlendirilmesi: İnsan ve Yapay Zekâ Tabanlı Karşılaştırmalı Bir Analiz,"Cerrahi, Tıbbi İnformatik, Üroloji ve Nefroloji",Fen > Tıp > Cerrahi | Fen > Tıp > Tıbbi İnformatik | Fen > Tıp > Üroloji ve Nefroloji,0.8880714583500853,-1,"Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka","Bilgisayar Bilimleri, Yapay Zeka",0.13511589169502258,Bilgisayar Bilimleri,0.5,0.6,1,YÜKSEK (Farklı Alt Alan),1,0.5093084266807792
1432781,"Afazide Aile Yaşamı Etki Ölçeği’nin Türkçeye Uyarlanması,  Geçerlik ve Güvenirlik: Metodolojik Çalışma","Klinik Nöroloji, Odyoloji ve Konuşma-Dil Patolojisi, Rehabilitasyon",Fen > Tıp > Klinik Nöroloji | Fen > Tıp > Odyoloji ve Konuşma-Dil Patolojisi | Fen > Tıp > Rehabilitasyon,0.0,72,Sosyal > Sosyal > Aile Çalışmaları,Aile Çalışmaları,0.30987152457237244,Aile Çalışmaları,0.6,1.0,0,KRİTİK (Farklı Ana Disiplin),1,0.5084550336003304
1230282,HAKAS MASALI “ZENGİNLE AVCI”NIN VLADİMİR PROPP’UN YAPISAL ANLATI ÇÖZÜMLEME YÖNTEMİ KAPSAMINDA İNCELENMESİ,"Kuş Bilimi, Antropoloji, Beşeri Bilimler, Dil ve Dil Bilim",Fen > Temel Bilimler > Kuş Bilimi | Sosyal > Sosyal > Antropoloji | Sosyal > Sosyal > Beşeri Bilimler | Sosyal > Sosyal > Dil ve Dil Bilim,0.2432207863834146,120,"Fen > Mühendislik > Mühendislik, Deniz","Mühendislik, Deniz",0.1329869031906128,Folklor,0.4,1.0,1,YÜKSEK (Farklı Alt Alan),1,0.5073506127125682
1370285,Genomun Çekirdek İçerisindeki 3 Boyutlu Yapısının Çekirdek Morfolojisine ve Kromatin Dağılımına Etkisinin Hesaplamalı ve Kuramsal Yöntemlerle Analizi,"Biyofizik, Biyokimya ve Moleküler Biyoloji, Hücre Biyolojisi",Fen > Tıp > Biyofizik | Fen > Tıp > Biyokimya ve Moleküler Biyoloji | Fen > Tıp > Hücre Biyolojisi,0.7019687867159934,17,Fen > Temel Bilimler > Genetik ve Kalıtım,Genetik ve Kalıtım,0.1250263750553131,Biyoloji,0.4,0.7,1,YÜKSEK (Farklı Alt Alan),1,0.4992514279483579
1393994,YAPAY ZEKA İLE TERAPİ: TERAPÖTİK SÜREÇTE ALGORİTMALARIN ETKİSİ VE ETİK SORUNLAR,"Etik, Psikoloji",Sosyal > Sosyal > Etik | Sosyal > Sosyal > Psikoloji,0.8539379169447029,-1,Fen > Tıp > Tıbbi Etik,Tıbbi Etik,0.1246677041053772,Bilgisayar Bilimleri,0.7,0.6,0,KRİTİK (Farklı Ana Disiplin),1,0.4971181756730577
1333478,Evaluation of physical and chemical condition of a group of waterlogged archaeological woods from the Yenikapı 16 shipwreck,"Deniz ve Tatlı Su Biyolojisi, Kimya, Organik, Kimya, Uygulamalı, Mikroskopi, Paleontoloji","Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi | Fen > Temel Bilimler > Kimya, Organik | Fen > Temel Bilimler > Kimya, Uygulamalı | Fen > Temel Bilimler > Mikroskopi | Fen > Temel Bilimler > Paleontoloji",0.7028402829732425,-1,Fen > Mühendislik > Orman Mühendisliği,Orman Mühendisliği,0.11751410365104675,Orman Mühendisliği,0.3,0.7,1,YÜKSEK (Farklı Alt Alan),1,0.496840007021177
1352944,The distribution of shoulder enhancement and associated features among NEIALs spectra observed with the EISCAT Svalbard 42m radar,"Fizik, Matematik, Fizik, Partiküller ve Alanlar","Fen > Temel Bilimler > Fizik, Matematik | Fen > Temel Bilimler > Fizik, Partiküller ve Alanlar",0.8351942642998904,-1,Fen > Mühendislik > Meteoroloji ve Atmosferik Bilimler,Meteoroloji ve Atmosferik Bilimler,0.12747105956077576,Bilgisayar Bilimleri,0.4,0.6,1,YÜKSEK (Farklı Alt Alan),1,0.4934134369212441
1330011,Giresun İlinin 2018-2023 Yılları İçerisindeki Katı Atık Performansının Ölçülmesi,"Oşinografi, Çevre Bilimleri",Fen > Temel Bilimler > Oşinografi | Fen > Temel Bilimler > Çevre Bilimleri,0.8861559166705444,-1,Fen > Tıp > Halk ve Çevre Sağlığı,Halk ve Çevre Sağlığı,0.09038844704627991,Malzeme Bilimleri,0.4,0.6,1,YÜKSEK (Farklı Alt Alan),1,0.4931749356338341
